vehicle_count,num_runs,nmax_mean,peak_time_s_mean,radius_m_mean,num_steps_mean,avg_concurrent_requests_mean,RSU1_max_mean,RSU1_peak_time_s_mean,RSU2_max_mean,RSU2_peak_time_s_mean,RSU3_max_mean,RSU3_peak_time_s_mean,RSU4_max_mean,RSU4_peak_time_s_mean,RSU5_max_mean,RSU5_peak_time_s_mean,Cui2019_avg_latency_ms_mean,Cui2019_throughput_mbps_mean,Dabra2024_avg_latency_ms_mean,Dabra2024_throughput_mbps_mean,Cui2025_avg_latency_ms_mean,Cui2025_throughput_mbps_mean,Yan2025_avg_latency_ms_mean,Yan2025_throughput_mbps_mean,Ours_Intra_AKA_batch_avg_latency_ms_mean,Ours_Intra_AKA_batch_throughput_mbps_mean,Ours_Inter_AKA_batch_avg_latency_ms_mean,Ours_Inter_AKA_batch_throughput_mbps_mean,Ours_Intra_ReAKA_batch_avg_latency_ms_mean,Ours_Intra_ReAKA_batch_throughput_mbps_mean,Ours_Inter_ReAKA_batch_avg_latency_ms_mean,Ours_Inter_ReAKA_batch_throughput_mbps_mean,Ours_Intra_AKA_noBatch_avg_latency_ms_mean,Ours_Intra_AKA_noBatch_throughput_mbps_mean,Ours_Inter_AKA_noBatch_avg_latency_ms_mean,Ours_Inter_AKA_noBatch_throughput_mbps_mean,Ours_Intra_ReAKA_noBatch_avg_latency_ms_mean,Ours_Intra_ReAKA_noBatch_throughput_mbps_mean,Ours_Inter_ReAKA_noBatch_avg_latency_ms_mean,Ours_Inter_ReAKA_noBatch_throughput_mbps_mean,nmax_std,peak_time_s_std,radius_m_std,num_steps_std,avg_concurrent_requests_std,RSU1_max_std,RSU1_peak_time_s_std,RSU2_max_std,RSU2_peak_time_s_std,RSU3_max_std,RSU3_peak_time_s_std,RSU4_max_std,RSU4_peak_time_s_std,RSU5_max_std,RSU5_peak_time_s_std,Cui2019_avg_latency_ms_std,Cui2019_throughput_mbps_std,Dabra2024_avg_latency_ms_std,Dabra2024_throughput_mbps_std,Cui2025_avg_latency_ms_std,Cui2025_throughput_mbps_std,Yan2025_avg_latency_ms_std,Yan2025_throughput_mbps_std,Ours_Intra_AKA_batch_avg_latency_ms_std,Ours_Intra_AKA_batch_throughput_mbps_std,Ours_Inter_AKA_batch_avg_latency_ms_std,Ours_Inter_AKA_batch_throughput_mbps_std,Ours_Intra_ReAKA_batch_avg_latency_ms_std,Ours_Intra_ReAKA_batch_throughput_mbps_std,Ours_Inter_ReAKA_batch_avg_latency_ms_std,Ours_Inter_ReAKA_batch_throughput_mbps_std,Ours_Intra_AKA_noBatch_avg_latency_ms_std,Ours_Intra_AKA_noBatch_throughput_mbps_std,Ours_Inter_AKA_noBatch_avg_latency_ms_std,Ours_Inter_AKA_noBatch_throughput_mbps_std,Ours_Intra_ReAKA_noBatch_avg_latency_ms_std,Ours_Intra_ReAKA_noBatch_throughput_mbps_std,Ours_Inter_ReAKA_noBatch_avg_latency_ms_std,Ours_Inter_ReAKA_noBatch_throughput_mbps_std,nmax,peak_time_s
100,10,9.100000000000000,639.399999999999977,200.000000000000000,1301.700000000000045,3.493292503893800,9.100000000000000,639.399999999999977,4.900000000000000,482.100000000000023,6.400000000000000,604.500000000000000,4.700000000000000,568.700000000000045,3.800000000000000,401.899999999999977,1.016506199123043,18.914869341691066,0.282118302614461,380.386329866270387,0.125314881992182,579.823265408524549,0.291560672252486,447.815199549501017,0.146816097353648,832.968497192347968,0.149104203943698,826.183726542183081,0.097546699878730,575.275748460106001,0.099834806468780,566.569858987368320,0.150749544713032,811.234184548361668,0.155325757893133,793.091039942425368,0.101480147238114,552.977624784853674,0.106056360418215,533.333333333333371,2.806737924669451,274.137516180798912,0.000000000000000,122.497210852601327,0.947304456107751,2.806737924669451,274.137516180798912,0.994428926011753,266.704351503891132,0.843274042711568,279.001891670209943,1.059349905471380,201.882831805425639,1.032795558988645,289.085704323898483,0.275654229073828,0.000000000000000,0.076504307875247,0.000000000000000,0.033982652753946,0.000000000000000,0.079064871820106,0.000000000000000,0.039813311681289,0.000000000000000,0.040433796100039,0.000000000000000,0.026452529632348,0.000000000000000,0.027073014051098,0.000000000000000,0.040879976498866,0.000000000000000,0.042120945336367,0.000000000000000,0.027519194449925,0.000000000000000,0.028760163287426,0.000000000000000,9.100000000000000,639.399999999999977
200,10,21.600000000000001,919.500000000000000,200.000000000000000,1747.700000000000045,9.150714916647500,21.600000000000001,919.500000000000000,8.000000000000000,449.500000000000000,9.800000000000001,490.300000000000011,6.900000000000000,500.699999999999989,5.300000000000000,577.100000000000023,2.662748232165397,18.914869341691066,0.739011736668445,380.386329866270387,0.328263596204892,579.823265408524549,0.763746119088143,447.815199549501017,0.384586246516857,832.968497192347968,0.390579964787261,826.183726542183081,0.255524563332462,575.275748460106001,0.261518281602866,566.569858987368320,0.394889951513002,811.234184548361668,0.406877388053810,793.091039942425368,0.265828268328607,552.977624784853674,0.277815704869415,533.333333333333371,2.633122354417533,158.581384643833758,0.000000000000000,148.266314448022882,1.539331069255278,2.633122354417533,158.581384643833758,1.154700538379251,199.180125068296462,2.149935399546280,169.217841192286159,1.595131481867387,205.369071565208088,0.948683298050514,247.089030288454722,0.447926869180404,0.000000000000000,0.124316377153042,0.000000000000000,0.055220423447388,0.000000000000000,0.128477189033239,0.000000000000000,0.064695006178653,0.000000000000000,0.065703268029016,0.000000000000000,0.042984280777879,0.000000000000000,0.043992542628242,0.000000000000000,0.066428292962635,0.000000000000000,0.068444816663359,0.000000000000000,0.044717567561861,0.000000000000000,0.046734091262585,0.000000000000000,21.600000000000001,919.500000000000000
300,10,43.200000000000003,875.500000000000000,200.000000000000000,2567.199999999999818,17.853031333084999,43.200000000000003,875.500000000000000,19.899999999999999,1008.799999999999955,10.900000000000000,445.800000000000011,8.800000000000001,547.600000000000023,6.800000000000000,375.199999999999989,5.195017881551745,18.914869341691066,1.441810810459947,380.386329866270387,0.640441793011759,579.823265408524549,1.490067554153276,447.815199549501017,0.750327200866898,832.968497192347968,0.762020936390068,826.183726542183081,0.498528046945066,575.275748460106001,0.510221782468237,566.569858987368320,0.770429714147951,811.234184548361668,0.793817185194292,793.091039942425368,0.518630560226120,552.977624784853674,0.542018031272461,533.333333333333371,8.521867296679890,172.508453899125385,0.000000000000000,319.976318568178499,2.532539109415088,8.521867296679890,172.508453899125385,6.590397054300547,201.529043950383368,1.286683937707919,152.299266796221531,1.619327706865483,236.643754759483699,1.135292424395093,154.009956388107156,0.736938490370519,0.000000000000000,0.204527858476374,0.000000000000000,0.090849775472052,0.000000000000000,0.211373311689123,0.000000000000000,0.106437553690503,0.000000000000000,0.108096366807170,0.000000000000000,0.070718622091311,0.000000000000000,0.072377435207978,0.000000000000000,0.109289192727705,0.000000000000000,0.112606818961039,0.000000000000000,0.073570261128512,0.000000000000000,0.076887887361846,0.000000000000000,43.200000000000003,875.500000000000000
400,10,55.600000000000001,928.899999999999977,200.000000000000000,3391.500000000000000,21.952064481246200,55.600000000000001,928.899999999999977,29.100000000000001,961.899999999999977,14.800000000000001,402.899999999999977,10.600000000000000,591.200000000000045,7.800000000000000,623.200000000000045,6.387787339268884,18.914869341691066,1.772848727505447,380.386329866270387,0.787486409135747,579.823265408524549,1.832185157798256,447.815199549501017,0.922601366017817,832.968497192347968,0.936979968253034,826.183726542183081,0.612989448574320,575.275748460106001,0.627368050809537,566.569858987368320,0.947319390623701,811.234184548361668,0.976076595094133,793.091039942425368,0.637707473180204,552.977624784853674,0.666464677650636,533.333333333333371,13.040109065665227,212.156362672021288,0.000000000000000,407.578554119052967,4.117006833143692,13.040109065665227,212.156362672021288,3.314949304120485,207.218859073095842,2.529822128134704,233.319261480439678,1.955050439815357,261.299232469000742,1.316561177208767,260.999276286778638,1.197999584362779,0.000000000000000,0.332489471844674,0.000000000000000,0.147689386125359,0.000000000000000,0.343617741314661,0.000000000000000,0.173029563183358,0.000000000000000,0.175726202659067,0.000000000000000,0.114963298808701,0.000000000000000,0.117659938284410,0.000000000000000,0.177665312877477,0.000000000000000,0.183058591828895,0.000000000000000,0.119599048502821,0.000000000000000,0.124992327454239,0.000000000000000,55.600000000000001,928.899999999999977
500,10,75.500000000000000,1068.200000000000045,200.000000000000000,4125.899999999999636,29.369940695059398,75.500000000000000,1068.200000000000045,30.899999999999999,924.600000000000023,17.000000000000000,421.300000000000011,12.199999999999999,612.000000000000000,8.400000000000000,584.500000000000000,8.546300302973933,18.914869341691066,2.371916410532994,380.386329866270387,1.053587882553864,579.823265408524549,2.451303360231739,447.815199549501017,1.234359867531954,832.968497192347968,1.253597178687218,826.183726542183081,0.820126223968837,575.275748460106001,0.839363535124101,566.569858987368320,1.267430420754592,811.234184548361668,1.305905043065119,793.091039942425368,0.853196777191474,552.977624784853674,0.891671399502002,533.333333333333371,10.458914326491488,88.331194942670166,0.000000000000000,441.829391407035189,5.477803849292860,10.458914326491488,88.331194942670166,2.469817807045694,139.284042318007295,2.538591035287969,252.401377879669184,1.549193338482967,242.264777097749430,0.966091783079296,309.400585361796345,1.593975186498054,0.000000000000000,0.442387438868898,0.000000000000000,0.196505257485686,0.000000000000000,0.457193942673537,0.000000000000000,0.230221140178084,0.000000000000000,0.233809101699371,0.000000000000000,0.152962194687656,0.000000000000000,0.156550156208943,0.000000000000000,0.236389147312388,0.000000000000000,0.243565070354962,0.000000000000000,0.159130201821960,0.000000000000000,0.166306124864534,0.000000000000000,75.500000000000000,1068.200000000000045
600,10,93.200000000000003,1035.599999999999909,200.000000000000000,4751.000000000000000,33.127066053934996,93.200000000000003,1035.599999999999909,40.899999999999999,974.700000000000045,19.399999999999999,593.600000000000023,14.600000000000000,574.000000000000000,9.199999999999999,481.800000000000011,9.639578696902468,18.914869341691066,2.675341854515799,380.386329866270387,1.188367240552814,579.823265408524549,2.764884314059585,447.815199549501017,1.392264332114785,832.968497192347968,1.413962560380112,826.183726542183081,0.925040192490084,575.275748460106001,0.946738420755411,566.569858987368320,1.429565408491516,811.234184548361668,1.472961865022171,793.091039942425368,0.962341268866815,552.977624784853674,1.005737725397470,533.333333333333371,11.193251935380035,96.071963767907974,0.000000000000000,360.797881245318706,4.036335445555590,11.193251935380035,96.071963767907974,4.508017549014447,151.784972173722707,2.458545188611437,253.303594745734131,2.366431913239846,217.639355101252050,1.398411797560202,286.901376783033243,1.174525178631325,0.000000000000000,0.325974450583068,0.000000000000000,0.144795461438415,0.000000000000000,0.336884665292405,0.000000000000000,0.169639106105810,0.000000000000000,0.172282905822648,0.000000000000000,0.112710630981694,0.000000000000000,0.115354430698533,0.000000000000000,0.174184019817505,0.000000000000000,0.179471619251183,0.000000000000000,0.117255544693389,0.000000000000000,0.122543144127067,0.000000000000000,93.200000000000003,1035.599999999999909
700,10,105.700000000000003,991.500000000000000,200.000000000000000,5354.000000000000000,39.951818707831400,105.700000000000003,991.500000000000000,44.799999999999997,1023.299999999999955,22.199999999999999,527.899999999999977,16.800000000000001,406.100000000000023,10.400000000000000,526.200000000000045,11.625499822154406,18.914869341691066,3.226508878844454,380.386329866270387,1.433191592506031,579.823265408524549,3.334498644811721,447.815199549501017,1.679095036652733,832.968497192347968,1.705263477906362,826.183726542183081,1.115614585597480,575.275748460106001,1.141783026851110,566.569858987368320,1.724080784517751,811.234184548361668,1.776417667025009,793.091039942425368,1.160600333462499,552.977624784853674,1.212937215969757,533.333333333333371,13.004700005083633,109.735287548415045,0.000000000000000,286.758899890947873,5.653297227337195,13.004700005083633,109.735287548415045,6.860515043833566,69.201878587217564,1.988857852023506,285.649143764397309,1.549193338482967,270.011707565102142,1.577621275493231,334.814310061894219,1.645041653588365,0.000000000000000,0.456560284079743,0.000000000000000,0.202800731436263,0.000000000000000,0.471841146485236,0.000000000000000,0.237596775870523,0.000000000000000,0.241299685554429,0.000000000000000,0.157862671776161,0.000000000000000,0.161565581460067,0.000000000000000,0.243962388548505,0.000000000000000,0.251368207916316,0.000000000000000,0.164228284454142,0.000000000000000,0.171634103821954,0.000000000000000,105.700000000000003,991.500000000000000
800,10,112.799999999999997,993.899999999999977,200.000000000000000,6012.600000000000364,40.823608872304803,112.799999999999997,993.899999999999977,56.299999999999997,1069.200000000000045,23.199999999999999,707.700000000000045,17.800000000000001,660.399999999999977,11.600000000000000,469.000000000000000,11.879180298534219,18.914869341691066,3.296914652527334,380.386329866270387,1.464465321076189,579.823265408524549,3.407260867309173,447.815199549501017,1.715734633685225,832.968497192347968,1.742474097496585,826.183726542183081,1.139958454150238,575.275748460106001,1.166697917961598,566.569858987368320,1.761702017275440,811.234184548361668,1.815180944898159,793.091039942425368,1.185925837740454,552.977624784853674,1.239404765363173,533.333333333333371,7.524773898411980,106.004664467602026,0.000000000000000,339.792812689667642,4.196592078962365,7.524773898411980,106.004664467602026,7.334090869963972,85.937703535112504,3.425395354310701,269.215341316203592,2.699794230842211,205.889506505039947,1.349897115421106,280.102758921713530,1.221157935873116,0.000000000000000,0.338916776297005,0.000000000000000,0.150544347648619,0.000000000000000,0.350260164686440,0.000000000000000,0.176374371894632,0.000000000000000,0.179123139706353,0.000000000000000,0.117185637212947,0.000000000000000,0.119934405024667,0.000000000000000,0.181099734575544,0.000000000000000,0.186597270198985,0.000000000000000,0.121910999893858,0.000000000000000,0.127408535517299,0.000000000000000,112.799999999999997,993.899999999999977
900,10,119.900000000000006,967.399999999999977,200.000000000000000,6709.199999999999818,44.130281033696996,119.900000000000006,967.399999999999977,62.100000000000001,1141.200000000000045,26.000000000000000,646.299999999999955,20.600000000000001,605.299999999999955,12.199999999999999,634.200000000000045,12.841382217433434,18.914869341691066,3.563961496281372,380.386329866270387,1.583085571521814,579.823265408524549,3.683245645915456,447.815199549501017,1.854707451284219,832.968497192347968,1.883612785361291,826.183726542183081,1.232293967584956,575.275748460106001,1.261199301662028,566.569858987368320,1.904398147728162,811.234184548361668,1.962208815882305,793.091039942425368,1.281984664028899,552.977624784853674,1.339795332183042,533.333333333333371,10.365005225919248,85.234578272748749,0.000000000000000,537.503033583170691,5.529435957565519,10.365005225919248,85.234578272748749,9.433392225964576,148.114670291485822,2.828427124746190,285.024774751638404,2.674987019698517,300.771988205166622,2.097617696340303,242.119254363078966,1.608999510420040,0.000000000000000,0.446557247932981,0.000000000000000,0.198357456105744,0.000000000000000,0.461503313326281,0.000000000000000,0.232391134424558,0.000000000000000,0.236012914976764,0.000000000000000,0.154403969679056,0.000000000000000,0.158025750231261,0.000000000000000,0.238617279312777,0.000000000000000,0.245860840417188,0.000000000000000,0.160630114567275,0.000000000000000,0.167873675671685,0.000000000000000,119.900000000000006,967.399999999999977
1000,10,127.500000000000000,934.399999999999977,200.000000000000000,7052.100000000000364,48.346472503654198,127.500000000000000,934.399999999999977,66.500000000000000,1032.700000000000045,27.899999999999999,545.299999999999955,21.100000000000001,644.600000000000023,12.500000000000000,387.600000000000023,14.068243340893350,18.914869341691066,3.904461119395120,380.386329866270387,1.734333008123590,579.823265408524549,4.035141634572496,447.815199549501017,2.031905546383582,832.968497192347968,2.063572485873475,826.183726542183081,1.350026898192042,575.275748460106001,1.381693837681936,566.569858987368320,2.086343674422697,811.234184548361668,2.149677553402483,793.091039942425368,1.404465026231157,552.977624784853674,1.467798905210944,533.333333333333371,5.854722690083432,92.865733424360812,0.000000000000000,288.196480046358488,3.569213377699906,5.854722690083432,92.865733424360812,7.106335201775948,105.594665269289692,2.233582075700127,230.609843675416414,0.875595035770913,259.816259862405218,0.971825315807550,189.533462305032913,1.038598262350131,0.000000000000000,0.288249672383042,0.000000000000000,0.128038391498228,0.000000000000000,0.297897256142964,0.000000000000000,0.150006899837970,0.000000000000000,0.152344734600364,0.000000000000000,0.099666714358891,0.000000000000000,0.102004549121285,0.000000000000000,0.154025834101260,0.000000000000000,0.158701503626047,0.000000000000000,0.103685648622181,0.000000000000000,0.108361318146968,0.000000000000000,127.500000000000000,934.399999999999977
