scenario,vehicle_count,nmax,peak_rsu,peak_time_s,radius_m,ever_covered_any,num_steps,avg_concurrent_requests,RSU1_max,RSU1_peak_time_s,RSU2_max,RSU2_peak_time_s,RSU3_max,RSU3_peak_time_s,RSU4_max,RSU4_peak_time_s,RSU5_max,RSU5_peak_time_s,Cui2019_avg_latency_ms,Cui2019_throughput_mbps,Dabra2024_avg_latency_ms,Dabra2024_throughput_mbps,Cui2025_avg_latency_ms,Cui2025_throughput_mbps,Yan2025_avg_latency_ms,Yan2025_throughput_mbps,Ours_Intra_AKA_batch_avg_latency_ms,Ours_Intra_AKA_batch_throughput_mbps,Ours_Inter_AKA_batch_avg_latency_ms,Ours_Inter_AKA_batch_throughput_mbps,Ours_Intra_ReAKA_batch_avg_latency_ms,Ours_Intra_ReAKA_batch_throughput_mbps,Ours_Inter_ReAKA_batch_avg_latency_ms,Ours_Inter_ReAKA_batch_throughput_mbps,Ours_Intra_AKA_noBatch_avg_latency_ms,Ours_Intra_AKA_noBatch_throughput_mbps,Ours_Inter_AKA_noBatch_avg_latency_ms,Ours_Inter_AKA_noBatch_throughput_mbps,Ours_Intra_ReAKA_noBatch_avg_latency_ms,Ours_Intra_ReAKA_noBatch_throughput_mbps,Ours_Inter_ReAKA_noBatch_avg_latency_ms,Ours_Inter_ReAKA_noBatch_throughput_mbps
chaoyang_100_run1.sumocfg,100,8,RSU1,413.0,200.0,True,1232,3.312500000000,8,413.0,5,510.0,7,886.0,6,576.0,5,738.0,0.963897750000002,18.914869341691066,0.267517500000000,380.386329866270387,0.118829312500000,579.823265408524549,0.276471187500000,447.815199549501017,0.139217750000000,832.968497192347968,0.141387437500000,826.183726542183081,0.092498250000000,575.275748460106001,0.094667937500000,566.569858987368320,0.142947625000000,811.234184548361668,0.147287000000000,793.091039942425368,0.096228125000000,552.977624784853674,0.100567500000000,533.333333333333371
chaoyang_100_run10.sumocfg,100,8,RSU1,491.0,200.0,True,1244,2.988745980707,8,491.0,7,513.0,7,543.0,4,426.0,3,251.0,0.869689215434087,18.914869341691066,0.241371125401930,380.386329866270387,0.107215284565917,579.823265408524549,0.249449705787782,447.815199549501017,0.125611016077171,832.968497192347968,0.127568644694534,826.183726542183081,0.083457742765274,575.275748460106001,0.085415371382637,566.569858987368320,0.128976344051447,811.234184548361668,0.132891601286174,793.091039942425368,0.086823070739550,552.977624784853674,0.090738327974277,533.333333333333371
chaoyang_100_run2.sumocfg,100,16,RSU1,765.0,200.0,True,1610,6.000621118013,16,765.0,5,346.0,7,795.0,5,743.0,3,241.0,1.746108737888229,18.914869341691066,0.484610161490692,380.386329866270387,0.215260281366463,579.823265408524549,0.500829840372680,447.815199549501017,0.252194104347830,832.968497192347968,0.256124511180129,826.183726542183081,0.167561344099382,575.275748460106001,0.171491750931680,566.569858987368320,0.258950803726713,811.234184548361668,0.266811617391309,793.091039942425368,0.174318043478264,552.977624784853674,0.182178857142860,533.333333333333371
chaoyang_100_run3.sumocfg,100,8,RSU1,1028.0,200.0,True,1301,2.785549577248,8,1028.0,4,1012.0,7,276.0,6,901.0,3,242.0,0.810561500384323,18.914869341691066,0.224960983858571,380.386329866270387,0.099926019984628,579.823265408524549,0.232490324365873,447.815199549501017,0.117071077632591,832.968497192347968,0.118895612605688,826.183726542183081,0.077783686395081,575.275748460106001,0.079608221368179,566.569858987368320,0.120207606456572,811.234184548361668,0.123856676402768,793.091039942425368,0.080920215219063,552.977624784853674,0.084569285165258,533.333333333333371
chaoyang_100_run4.sumocfg,100,9,RSU1,844.0,200.0,True,1330,3.324060150376,9,844.0,5,421.0,5,468.0,4,596.0,4,329.0,0.967261615037600,18.914869341691066,0.268451097744363,380.386329866270387,0.119244009774437,579.823265408524549,0.277436032330829,447.815199549501017,0.139703600000001,832.968497192347968,0.141880859398497,826.183726542183081,0.092821055639098,575.275748460106001,0.094998315037595,566.569858987368320,0.143446491729324,811.234184548361668,0.147801010526317,793.091039942425368,0.096563947368422,552.977624784853674,0.100918466165414,533.333333333333371
chaoyang_100_run5.sumocfg,100,8,RSU1,856.0,200.0,True,1204,3.167774086379,8,856.0,6,877.0,6,999.0,4,712.0,3,149.0,0.921784245847175,18.914869341691066,0.255829435215946,380.386329866270387,0.113637559800664,579.823265408524549,0.264391928571428,447.815199549501017,0.133135209302325,832.968497192347968,0.135210101328903,826.183726542183081,0.088456923588040,575.275748460106001,0.090531815614618,566.569858987368320,0.136702122923588,811.234184548361668,0.140851906976744,793.091039942425368,0.092023837209302,552.977624784853674,0.096173621262458,533.333333333333371
chaoyang_100_run6.sumocfg,100,8,RSU1,311.0,200.0,True,1282,3.550702028081,8,311.0,5,239.0,7,811.0,4,301.0,6,554.0,1.033211681747272,18.914869341691066,0.286754695787832,380.386329866270387,0.127374333853354,579.823265408524549,0.296352243369735,447.815199549501017,0.149228904836194,832.968497192347968,0.151554614664587,826.183726542183081,0.099149803432137,575.275748460106001,0.101475513260531,566.569858987368320,0.153226995319813,811.234184548361668,0.157878414976599,793.091039942425368,0.103147893915757,552.977624784853674,0.107799313572543,533.333333333333371
chaoyang_100_run7.sumocfg,100,12,RSU1,943.0,200.0,True,1379,3.952864394489,12,943.0,4,422.0,7,178.0,3,248.0,4,235.0,1.150236104423506,18.914869341691066,0.319233328498915,380.386329866270387,0.141801104423497,579.823265408524549,0.329917920957218,447.815199549501017,0.166130984771575,832.968497192347968,0.168720110949965,826.183726542183081,0.110379785351705,575.275748460106001,0.112968911530095,566.569858987368320,0.170581910079770,811.234184548361668,0.175760162436550,793.091039942425368,0.114830710659900,552.977624784853674,0.120008963016680,533.333333333333371
chaoyang_100_run8.sumocfg,100,7,RSU1,416.0,200.0,True,1239,2.983050847458,7,416.0,4,240.0,5,361.0,5,658.0,4,1047.0,0.868032000000001,18.914869341691066,0.240911186440678,380.386329866270387,0.107010983050848,579.823265408524549,0.248974372881356,447.815199549501017,0.125371661016949,832.968497192347968,0.127325559322034,826.183726542183081,0.083298711864407,575.275748460106001,0.085252610169492,566.569858987368320,0.128730576271187,811.234184548361668,0.132638372881356,793.091039942425368,0.086657627118644,552.977624784853674,0.090565423728814,533.333333333333371
chaoyang_100_run9.sumocfg,100,7,RSU1,327.0,200.0,True,1196,2.867056856187,7,327.0,4,241.0,6,728.0,6,526.0,3,233.0,0.834279140468237,18.914869341691066,0.231543511705688,380.386329866270387,0.102849930602008,579.823265408524549,0.239293166387963,447.815199549501017,0.120496665551841,832.968497192347968,0.122374587792644,826.183726542183081,0.080059695652175,575.275748460106001,0.081937617892978,566.569858987368320,0.123724971571908,811.234184548361668,0.127480816053513,793.091039942425368,0.083288001672242,552.977624784853674,0.087043846153847,533.333333333333371
chaoyang_1000_run1.sumocfg,1000,127,RSU1,951.0,200.0,True,6844,45.357831677382,127,951.0,66,995.0,31,309.0,21,965.0,12,467.0,13.198584724138112,18.914869341691066,3.663098486265392,380.386329866270387,1.627121495762734,579.823265408524549,3.785700705289356,447.815199549501017,1.906298949737022,832.968497192347968,1.936008329485707,826.183726542183081,1.266572091759222,575.275748460106001,1.296281471507908,566.569858987368320,1.957371868205754,811.234184548361668,2.016790627703125,793.091039942425368,1.317645010227955,552.977624784853674,1.377063769725326,533.333333333333371
chaoyang_1000_run10.sumocfg,1000,129,RSU1,1014.0,200.0,True,7011,46.116245899302,129,1014.0,62,1215.0,30,638.0,21,886.0,14,576.0,13.419274161745991,18.914869341691066,3.724348018827602,380.386329866270387,1.654328089145648,579.823265408524549,3.849000231493414,447.815199549501017,1.938173582655850,832.968497192347968,1.968379723719893,826.183726542183081,1.287750050492100,575.275748460106001,1.317956191556142,566.569858987368320,1.990100475538464,811.234184548361668,2.050512757666549,793.091039942425368,1.339676943374713,552.977624784853674,1.400089225502798,533.333333333333371
